tool	community	skew	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives
SingleM inject	sample4	high_skew	order	0.0726006904487917	1	1	0	0	1	0.141397954895644	1	2.66342212959473	0.9045601380908	0.947611710323575	19	19
SingleM inject	sample4	low_skew	order	0.107497261374425	0.952380952380952	0.952380952380952	1	1	0.909090909090909	0.201005052574082	0.952380952380952	2.65229140487437	0.871168289650592	0.869862078383176	21	20
SingleM inject	sample5	high_skew	order	0.0074547355761915	0.909090909090909	0.952380952380952	1	0	0.909090909090909	0.0148776618071373	1	0.885460876493907	0.384550772602521	0.995733001536998	10	10
SingleM inject	sample5	low_skew	order	0.0261868774625293	1	0.782608695652174	0	5	0.642857142857143	0.0515231379747536	0.642857142857143	0.924735353512537	0.350403662374152	0.967517434962526	14	9
SingleM joint	sample0	high_skew	order	0.0435327107677983	0.931034482758621	0.964285714285714	2	0	0.931034482758621	0.0870654215355966	1	2.54910319274272	0.773431239584713	1	27	27
SingleM joint	sample0	low_skew	order	0.11235388221361	0.823529411764706	0.903225806451613	6	0	0.823529411764706	0.224707764427219	1	2.39453507215743	0.718603874655799	1	28	28
SingleM joint	sample4	high_skew	order	0.0851386530843237	1	1	0	0	1	0.170277306168647	1	2.80315686676095	0.952017306724595	1	19	19
SingleM joint	sample4	low_skew	order	0.202987332198903	0.904761904761905	0.95	2	0	0.904761904761905	0.405974664397807	1	2.76176223141897	0.937958725230848	1	19	19
SingleM joint	sample5	high_skew	order	0.0087504219693884	0.818181818181818	0.9	2	0	0.818181818181818	0.0175008439387768	1	0.890082299560638	0.405093911993156	1	9	9
SingleM joint	sample5	low_skew	order	0.0407197049297061	0.888888888888889	0.941176470588235	1	0	0.888888888888889	0.0814394098594122	1	0.832848914077026	0.400515666049561	1	8	8
SingleM nnls	sample0	high_skew	order	0.0362471140003182	0.931034482758621	0.964285714285714	2	0	0.931034482758621	0.0724942280006365	1	2.52514466716639	0.76616190965414	1	27	27
SingleM nnls	sample0	low_skew	order	0.116871035465605	0.823529411764706	0.903225806451613	6	0	0.823529411764706	0.233742070931209	1	2.36207306767192	0.70886197424531	1	28	28
SingleM nnls	sample4	high_skew	order	0.101149425287356	1	1	0	0	1	0.202298850574713	1	2.77871358411367	0.94371579909607	1	19	19
SingleM nnls	sample4	low_skew	order	0.195069033530572	0.904761904761905	0.95	2	0	0.904761904761905	0.390138067061144	1	2.77382142282362	0.942054307272105	1	19	19
SingleM nnls	sample5	high_skew	order	0.0121730067793547	0.818181818181818	0.9	2	0	0.818181818181818	0.0243460135587094	1	0.87831952918271	0.399740444487259	1	9	9
SingleM nnls	sample5	low_skew	order	0.0425310667796985	0.888888888888889	0.941176470588235	1	0	0.888888888888889	0.0850621335593969	1	0.824014237132742	0.396267084511103	1	8	8
sylph	sample0	high_skew	order	0.0424699183738795	0.862068965517241	0.925925925925926	4	0	0.862068965517241	0.0849398367477591	1	2.45221646839682	0.761823879458671	1	25	25
