tool	community	rank	metric	value	tool2
metaphlan42	marine6	genus	Bray-Curtis distance	0.151498879950616	MetaPhlAn v4.2
metaphlan42	marine6	species	Bray-Curtis distance	0.238359639996377	MetaPhlAn v4.2
singlem	marine7	kingdom	Bray-Curtis distance	0.00169595460126274	SingleM
singlem	marine7	phylum	Bray-Curtis distance	0.0480720956581721	SingleM
singlem	marine7	class	Bray-Curtis distance	0.0500677893957604	SingleM
singlem	marine7	order	Bray-Curtis distance	0.0522511432913639	SingleM
singlem	marine7	family	Bray-Curtis distance	0.0568033578774613	SingleM
singlem	marine7	genus	Bray-Curtis distance	0.0708163717686271	SingleM
singlem	marine7	species	Bray-Curtis distance	0.163579911945035	SingleM
metaphlan	marine7	kingdom	Bray-Curtis distance	0.00378293882619849	MetaPhlAn
metaphlan	marine7	phylum	Bray-Curtis distance	0.109211346086166	MetaPhlAn
metaphlan	marine7	class	Bray-Curtis distance	0.127527649547181	MetaPhlAn
metaphlan	marine7	order	Bray-Curtis distance	0.189124721713438	MetaPhlAn
metaphlan	marine7	family	Bray-Curtis distance	0.209447138730605	MetaPhlAn
metaphlan	marine7	genus	Bray-Curtis distance	0.268210395264411	MetaPhlAn
metaphlan	marine7	species	Bray-Curtis distance	0.332524956473922	MetaPhlAn
kraken	marine7	kingdom	Bray-Curtis distance	0.00575195336635541	Kraken2
kraken	marine7	phylum	Bray-Curtis distance	0.116807278340742	Kraken2
kraken	marine7	class	Bray-Curtis distance	0.12524555415495	Kraken2
kraken	marine7	order	Bray-Curtis distance	0.162596750767498	Kraken2
kraken	marine7	family	Bray-Curtis distance	0.179380115234597	Kraken2
kraken	marine7	genus	Bray-Curtis distance	0.20190501294815	Kraken2
kraken	marine7	species	Bray-Curtis distance	0.24461797528465	Kraken2
