tool,community,rank,metric,value
metaphlan,marine5,phylum,Sum of abundances,1
metaphlan,marine5,class,Sum of abundances,1
metaphlan,marine5,order,Sum of abundances,1
metaphlan,marine5,family,Sum of abundances,1
metaphlan,marine5,genus,Sum of abundances,1
metaphlan,marine5,species,Sum of abundances,1
metaphlan,marine5,phylum,Taxon counts,30
metaphlan,marine5,class,Taxon counts,45
metaphlan,marine5,order,Taxon counts,92
metaphlan,marine5,family,Taxon counts,151
metaphlan,marine5,genus,Taxon counts,288
metaphlan,marine5,species,Taxon counts,426
kraken,marine5,kingdom,Bray-Curtis distance,0.00557287237854362
kraken,marine5,phylum,Bray-Curtis distance,0.12620842286093
kraken,marine5,class,Bray-Curtis distance,0.142871727908571
kraken,marine5,order,Bray-Curtis distance,0.176583824114315
kraken,marine5,family,Bray-Curtis distance,0.1976925318585
kraken,marine5,genus,Bray-Curtis distance,0.215288227353893
kraken,marine5,species,Bray-Curtis distance,0.280508041772147
kraken,marine5,phylum,Shannon diversity,1.66801400266666
kraken,marine5,phylum,Shannon equitability,0.428594815509966
kraken,marine5,class,Shannon diversity,2.03407121823958
kraken,marine5,class,Shannon equitability,0.447708395717013
kraken,marine5,order,Shannon diversity,3.07486930488189
kraken,marine5,order,Shannon equitability,0.589015271738829
kraken,marine5,family,Shannon diversity,3.71255845628842
kraken,marine5,family,Shannon equitability,0.637887552585724
kraken,marine5,genus,Shannon diversity,4.45753661314944
kraken,marine5,genus,Shannon equitability,0.664865919250498
kraken,marine5,species,Shannon diversity,5.52151330018804
kraken,marine5,species,Shannon equitability,0.679197224412654
kraken,marine5,kingdom,True positives,2
kraken,marine5,kingdom,False negatives,0
kraken,marine5,kingdom,False positives,0
kraken,marine5,kingdom,Completeness,1
kraken,marine5,kingdom,Purity,1
kraken,marine5,kingdom,F1 score,1
kraken,marine5,kingdom,Jaccard index,1
kraken,marine5,phylum,True positives,35
kraken,marine5,phylum,False negatives,0
kraken,marine5,phylum,False positives,14
kraken,marine5,phylum,Completeness,1
kraken,marine5,phylum,Purity,0.714285714285714
kraken,marine5,phylum,F1 score,0.833333333333333
kraken,marine5,phylum,Jaccard index,0.714285714285714
kraken,marine5,class,True positives,53
kraken,marine5,class,False negatives,0
kraken,marine5,class,False positives,41
kraken,marine5,class,Completeness,1
kraken,marine5,class,Purity,0.563829787234043
kraken,marine5,class,F1 score,0.72108843537415
kraken,marine5,class,Jaccard index,0.563829787234043
kraken,marine5,order,True positives,104
kraken,marine5,order,False negatives,1
kraken,marine5,order,False positives,81
kraken,marine5,order,Completeness,0.990476190476191
kraken,marine5,order,Purity,0.562162162162162
kraken,marine5,order,F1 score,0.717241379310345
kraken,marine5,order,Jaccard index,0.559139784946237
kraken,marine5,family,True positives,166
kraken,marine5,family,False negatives,9
kraken,marine5,family,False positives,171
kraken,marine5,family,Completeness,0.948571428571429
kraken,marine5,family,Purity,0.492581602373887
kraken,marine5,family,F1 score,0.6484375
kraken,marine5,family,Jaccard index,0.479768786127168
kraken,marine5,genus,True positives,317
kraken,marine5,genus,False negatives,12
kraken,marine5,genus,False positives,499
kraken,marine5,genus,Completeness,0.963525835866261
kraken,marine5,genus,Purity,0.388480392156863
kraken,marine5,genus,F1 score,0.553711790393013
kraken,marine5,genus,Jaccard index,0.382850241545894
kraken,marine5,species,True positives,484
kraken,marine5,species,False negatives,6
kraken,marine5,species,False positives,2909
kraken,marine5,species,Completeness,0.987755102040816
kraken,marine5,species,Purity,0.142646625405246
kraken,marine5,species,F1 score,0.24929178470255
kraken,marine5,species,Jaccard index,0.142394822006473
kraken,marine5,kingdom,L1 norm error,0.0111457447570872
kraken,marine5,phylum,L1 norm error,0.25240801113226
kraken,marine5,class,L1 norm error,0.285720596340677
